Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-03-24 09:07,Squat,1,1,0,90 lbs x 5 reps,90 lbs,5
2014-03-24 09:07,Squat,1,2,0,115 lbs x 5 reps,115 lbs,5
2014-03-24 09:07,Squat,1,3,0,135 lbs x 5 reps,135 lbs,5
2014-03-24 09:07,Squat,1,4,0,160 lbs x 5 reps,160 lbs,5
2014-03-24 09:07,Squat,1,5,0,180 lbs x 5 reps,180 lbs,5
2014-03-24 09:07,Bench Press,2,1,0,95 lbs x 5 reps,95 lbs,5
2014-03-24 09:07,Bench Press,2,2,0,115 lbs x 5 reps,115 lbs,5
2014-03-24 09:07,Bench Press,2,3,0,135 lbs x 5 reps,135 lbs,5
2014-03-24 09:07,Bench Press,2,4,0,160 lbs x 5 reps,160 lbs,5
2014-03-24 09:07,Bench Press,2,5,0,180 lbs x 5 reps,180 lbs,5
2014-03-24 09:07,Chin-Up,3,1,0,5 reps,,5
2014-03-24 09:07,Chin-Up,3,2,0,5 reps,,5
2014-03-24 09:07,Chin-Up,3,3,0,5 reps,,5
2014-03-24 09:07,Chin-Up,3,4,0,5 reps,,5
