Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Reps
2012-07-07 22:09,Foam Rolling,1,1,0,15:00,900 sec,
2012-07-07 22:09,Foam Rolling,1,2,0,13:00,780 sec,
2012-07-07 22:09,Chin-Up,2,1,0,5 reps,,5
2012-07-07 22:09,Chin-Up,2,2,0,5 reps,,5
2012-07-07 22:09,Chin-Up,2,3,0,5 reps,,5
