Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration
2012-07-08 22:04,Foam Rolling,1,1,0,15:00,900 sec
2012-07-08 22:04,Foam Rolling,1,2,0,15:00,900 sec
2012-07-08 22:04,Foam Rolling,1,3,0,3:00,180 sec
