Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Reps,Weight
2012-07-14 22:28,Foam Rolling,1,1,0,15:00,900 sec,,
2012-07-14 22:28,Foam Rolling,1,2,0,11:00,660 sec,,
2012-07-14 22:28,Chin-Up,2,1,0,1 reps,,1,10 lbs
2012-07-14 22:28,Chin-Up,2,2,0,2 reps,,2,10 lbs
2012-07-14 22:28,Chin-Up,2,3,0,3 reps,,3,10 lbs
2012-07-14 22:28,Chin-Up,2,4,0,1 reps,,1,10 lbs
2012-07-14 22:28,Chin-Up,2,5,0,2 reps,,2,10 lbs
2012-07-14 22:28,Chin-Up,2,6,0,3 reps,,3,10 lbs
2012-07-14 22:28,Chin-Up,2,7,0,1 reps,,1,10 lbs
2012-07-14 22:28,Chin-Up,2,8,0,2 reps,,2,10 lbs
2012-07-14 22:28,Chin-Up,2,9,0,3 reps,,3,10 lbs
2012-07-14 22:28,Chin-Up,2,10,0,1 reps,,1,10 lbs
2012-07-14 22:28,Chin-Up,2,11,0,2 reps,,2,10 lbs
2012-07-14 22:28,Chin-Up,2,12,0,3 reps,,3,10 lbs
2012-07-14 22:28,Chin-Up,2,13,0,1 reps,,1,10 lbs
2012-07-14 22:28,Chin-Up,2,14,0,2 reps,,2,10 lbs
2012-07-14 22:28,Chin-Up,2,15,1,3 reps,,3,10 lbs
