Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-07-05 18:49,Foam Rolling,1,1,0,10:00,600 sec,,
2013-07-05 18:49,Deadlift,2,1,0,135 lbs x 5 reps,,135 lbs,5
2013-07-05 18:49,Deadlift,2,2,0,185 lbs x 5 reps,,185 lbs,5
2013-07-05 18:49,Deadlift,2,3,0,210 lbs x 3 reps,,210 lbs,3
2013-07-05 18:49,Deadlift,2,4,0,250 lbs x 3 reps,,250 lbs,3
2013-07-05 18:49,Deadlift,2,5,0,250 lbs x 3 reps,,250 lbs,3
2013-07-05 18:49,Deadlift,2,6,0,250 lbs x 3 reps,,250 lbs,3
2013-07-05 18:49,Dumbbell Bulgarian Split Squat,3,1,0,25 lbs x 5 reps,,25 lbs,5
2013-07-05 18:49,Dumbbell Bulgarian Split Squat,3,2,0,25 lbs x 5 reps,,25 lbs,5
2013-07-05 18:49,Dumbbell Bulgarian Split Squat,3,3,0,25 lbs x 5 reps,,25 lbs,5
2013-07-05 18:49,Dumbbell Bulgarian Split Squat,3,4,1,25 lbs x 5 reps,,25 lbs,5
2013-07-05 18:49,Chin-Up,4,1,0,7 reps,,,7
2013-07-05 18:49,Chin-Up,4,2,0,7 reps,,,7
2013-07-05 18:49,Push Up,5,1,0,10 reps,,,10
2013-07-05 18:49,Push Up,5,2,0,10 reps,,,10
2013-07-05 18:49,Push Up,5,3,0,10 reps,,,10
2013-07-05 18:49,Push Up,5,4,0,10 reps,,,10
2013-07-05 18:49,Push Up,5,5,0,10 reps,,,10
