Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-07-26 19:39,Foam Rolling,1,1,0,10:00,600 sec,,
2013-07-26 19:39,Bench Press,2,1,0,95 lbs x 5 reps,,95 lbs,5
2013-07-26 19:39,Bench Press,2,2,0,135 lbs x 5 reps,,135 lbs,5
2013-07-26 19:39,Bench Press,2,3,0,155 lbs x 3 reps,,155 lbs,3
2013-07-26 19:39,Bench Press,2,4,0,170 lbs x 3 reps,,170 lbs,3
2013-07-26 19:39,Bench Press,2,5,0,175 lbs x 2 reps,,175 lbs,2
2013-07-26 19:39,Bench Press,2,6,0,175 lbs x 2 reps,,175 lbs,2
2013-07-26 19:39,Bench Press,2,7,0,180 lbs x 1 reps,,180 lbs,1
2013-07-26 19:39,Bench Press,2,8,0,180 lbs x 1 reps,,180 lbs,1
2013-07-26 19:39,Bench Press,2,9,0,180 lbs x 1 reps,,180 lbs,1
2013-07-26 19:39,Overhead Press,3,1,0,100 lbs x 5 reps,,100 lbs,5
2013-07-26 19:39,Overhead Press,3,2,0,100 lbs x 5 reps,,100 lbs,5
2013-07-26 19:39,Overhead Press,3,3,0,100 lbs x 5 reps,,100 lbs,5
2013-07-26 19:39,Overhead Press,3,4,0,100 lbs x 5 reps,,100 lbs,5
