Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-07-17 10:39,Foam Rolling,1,1,0,16:00,960 sec,,
2013-07-17 10:39,Bench Press,2,1,0,95 lbs x 5 reps,,95 lbs,5
2013-07-17 10:39,Bench Press,2,2,0,115 lbs x 5 reps,,115 lbs,5
2013-07-17 10:39,Bench Press,2,3,0,135 lbs x 3 reps,,135 lbs,3
2013-07-17 10:39,Bench Press,2,4,0,165 lbs x 3 reps,,165 lbs,3
2013-07-17 10:39,Bench Press,2,5,0,165 lbs x 3 reps,,165 lbs,3
2013-07-17 10:39,Bench Press,2,6,0,165 lbs x 3 reps,,165 lbs,3
2013-07-17 10:39,Overhead Press,3,1,0,100 lbs x 5 reps,,100 lbs,5
2013-07-17 10:39,Overhead Press,3,2,0,100 lbs x 5 reps,,100 lbs,5
2013-07-17 10:39,Overhead Press,3,3,0,100 lbs x 5 reps,,100 lbs,5
2013-07-17 10:39,Overhead Press,3,4,0,100 lbs x 5 reps,,100 lbs,5
2013-07-17 10:39,Curl,4,1,0,40 lbs x 12 reps,,40 lbs,12
2013-07-17 10:39,Curl,4,2,0,40 lbs x 12 reps,,40 lbs,12
2013-07-17 10:39,Curl,4,3,0,40 lbs x 12 reps,,40 lbs,12
2013-07-17 10:39,Curl,4,4,0,40 lbs x 12 reps,,40 lbs,12
