Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-07-24 11:00,Foam Rolling,1,1,0,10:00,600 sec,,
2013-07-24 11:00,Squat,2,1,0,135 lbs x 5 reps,,135 lbs,5
2013-07-24 11:00,Squat,2,2,0,185 lbs x 5 reps,,185 lbs,5
2013-07-24 11:00,Squat,2,3,0,205 lbs x 3 reps,,205 lbs,3
2013-07-24 11:00,Squat,2,4,0,235 lbs x 3 reps,,235 lbs,3
2013-07-24 11:00,Squat,2,5,0,245 lbs x 2 reps,,245 lbs,2
2013-07-24 11:00,Squat,2,6,0,245 lbs x 2 reps,,245 lbs,2
2013-07-24 11:00,Squat,2,7,0,250 lbs x 1 reps,,250 lbs,1
2013-07-24 11:00,Squat,2,8,0,250 lbs x 1 reps,,250 lbs,1
2013-07-24 11:00,Squat,2,9,0,250 lbs x 1 reps,,250 lbs,1
2013-07-24 11:00,Barbell Rear Lunge,3,1,0,65 lbs x 5 reps,,65 lbs,5
2013-07-24 11:00,Barbell Rear Lunge,3,2,0,65 lbs x 5 reps,,65 lbs,5
2013-07-24 11:00,Barbell Rear Lunge,3,3,0,65 lbs x 5 reps,,65 lbs,5
2013-07-24 11:00,Barbell Rear Lunge,3,4,0,65 lbs x 5 reps,,65 lbs,5
2013-07-24 11:00,Chin-Up,4,1,0,6 reps,,,6
2013-07-24 11:00,Chin-Up,4,2,0,6 reps,,,6
2013-07-24 11:00,Chin-Up,4,3,0,6 reps,,,6
