Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
2013-07-03 11:02,Bench Press,1,1,0,95 lbs x 5 reps,95 lbs,5,
2013-07-03 11:02,Bench Press,1,2,0,115 lbs x 5 reps,115 lbs,5,
2013-07-03 11:02,Bench Press,1,3,0,135 lbs x 3 reps,135 lbs,3,
2013-07-03 11:02,Bench Press,1,4,0,155 lbs x 3 reps,155 lbs,3,
2013-07-03 11:02,Bench Press,1,5,0,155 lbs x 3 reps,155 lbs,3,
2013-07-03 11:02,Bench Press,1,6,0,155 lbs x 3 reps,155 lbs,3,
2013-07-03 11:02,Overhead Press,2,1,0,95 lbs x 5 reps,95 lbs,5,
2013-07-03 11:02,Overhead Press,2,2,0,95 lbs x 5 reps,95 lbs,5,
2013-07-03 11:02,Overhead Press,2,3,0,95 lbs x 5 reps,95 lbs,5,
2013-07-03 11:02,Overhead Press,2,4,0,95 lbs x 5 reps,95 lbs,5,
2013-07-03 11:02,Curl,3,1,0,45 lbs x 10 reps,45 lbs,10,
2013-07-03 11:02,Curl,3,2,0,45 lbs x 10 reps,45 lbs,10,
2013-07-03 11:02,Curl,3,3,0,45 lbs x 10 reps,45 lbs,10,
2013-07-03 11:02,Curl,3,4,1,45 lbs x 10 reps,45 lbs,10,
2013-07-03 11:02,Foam Rolling,4,1,0,20:00,,,1200 sec
