Performed At,Exercise,Exercise#,Set#,IsPR,String,Reps
2012-04-01 21:41,Chin-Up,1,1,0,5 reps,5
2012-04-01 21:41,Chin-Up,1,2,0,5 reps,5
2012-04-01 21:41,Chin-Up,1,3,0,5 reps,5
2012-04-01 21:41,Push Up,2,1,0,10 reps,10
2012-04-01 21:41,Push Up,2,2,0,10 reps,10
2012-04-01 21:41,Push Up,2,3,0,10 reps,10
2012-04-01 21:41,Glute Ham Raise,3,1,0,5 reps,5
2012-04-01 21:41,Glute Ham Raise,3,2,0,5 reps,5
2012-04-01 21:41,Glute Ham Raise,3,3,0,5 reps,5
