Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-01-30 20:05,Deadlift,1,1,0,140 lbs x 5 reps,140 lbs,5
2014-01-30 20:05,Deadlift,1,2,0,175 lbs x 5 reps,175 lbs,5
2014-01-30 20:05,Deadlift,1,3,0,210 lbs x 3 reps,210 lbs,3
2014-01-30 20:05,Deadlift,1,4,0,230 lbs x 5 reps,230 lbs,5
2014-01-30 20:05,Deadlift,1,5,0,265 lbs x 5 reps,265 lbs,5
2014-01-30 20:05,Deadlift,1,6,0,300 lbs x 5 reps,300 lbs,5
2014-01-30 20:05,Squat,2,1,0,135 lbs x 5 reps,135 lbs,5
2014-01-30 20:05,Squat,2,2,0,195 lbs x 5 reps,195 lbs,5
2014-01-30 20:05,Squat,2,3,0,195 lbs x 5 reps,195 lbs,5
2014-01-30 20:05,Squat,2,4,0,195 lbs x 5 reps,195 lbs,5
2014-01-30 20:05,Squat,2,5,0,195 lbs x 5 reps,195 lbs,5
