Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
2013-01-10 12:48,Goblet Squat,1,1,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,2,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,3,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,4,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,5,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,6,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,7,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,8,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,9,0,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Goblet Squat,1,10,1,50 lbs x 10 reps,50 lbs,10,
2013-01-10 12:48,Foam Rolling,2,1,0,10:00,,,600 sec
