Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-01-24 10:12,Foam Rolling,1,1,0,10:00,600 sec,,
2013-01-24 10:12,Overhead Press,2,1,0,45 lbs x 5 reps,,45 lbs,5
2013-01-24 10:12,Overhead Press,2,2,0,75 lbs x 5 reps,,75 lbs,5
2013-01-24 10:12,Overhead Press,2,3,0,95 lbs x 3 reps,,95 lbs,3
2013-01-24 10:12,Overhead Press,2,4,0,120 lbs x 5 reps,,120 lbs,5
2013-01-24 10:12,Overhead Press,2,5,0,120 lbs x 5 reps,,120 lbs,5
2013-01-24 10:12,Overhead Press,2,6,1,120 lbs x 5 reps,,120 lbs,5
2013-01-24 10:12,Chin-Up,3,1,0,5 reps,,,5
2013-01-24 10:12,Chin-Up,3,2,0,5 reps,,,5
2013-01-24 10:12,Chin-Up,3,3,0,5 reps,,,5
2013-01-24 10:12,Deadlift,4,1,0,135 lbs x 5 reps,,135 lbs,5
2013-01-24 10:12,Deadlift,4,2,0,185 lbs x 5 reps,,185 lbs,5
2013-01-24 10:12,Deadlift,4,3,0,225 lbs x 5 reps,,225 lbs,5
2013-01-24 10:12,Deadlift,4,4,1,275 lbs x 5 reps,,275 lbs,5
