Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2013-12-24 13:34,Bench Press,1,1,0,185 lbs x 5 reps,185 lbs,5
2013-12-24 13:34,Bench Press,1,2,0,185 lbs x 5 reps,185 lbs,5
2013-12-24 13:34,Bench Press,1,3,0,185 lbs x 4 reps,185 lbs,4
2013-12-24 13:34,Bulgarian Split Squat,2,1,0,70 lbs x 5 reps,70 lbs,5
2013-12-24 13:34,Bulgarian Split Squat,2,2,0,70 lbs x 5 reps,70 lbs,5
2013-12-24 13:34,Bulgarian Split Squat,2,3,0,70 lbs x 5 reps,70 lbs,5
2013-12-24 13:34,Dumbbell Row,3,1,0,75 lbs x 8 reps,75 lbs,8
2013-12-24 13:34,Dumbbell Row,3,2,0,75 lbs x 8 reps,75 lbs,8
2013-12-24 13:34,Dumbbell Row,3,3,0,75 lbs x 8 reps,75 lbs,8
2013-12-24 13:34,Romanian Deadlift,4,1,0,125 lbs x 5 reps,125 lbs,5
2013-12-24 13:34,Romanian Deadlift,4,2,0,125 lbs x 5 reps,125 lbs,5
2013-12-24 13:34,Romanian Deadlift,4,3,0,125 lbs x 5 reps,125 lbs,5
