Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2013-12-27 13:31,Squat,1,1,0,135 lbs x 5 reps,135 lbs,5
2013-12-27 13:31,Squat,1,2,0,185 lbs x 5 reps,185 lbs,5
2013-12-27 13:31,Squat,1,3,0,215 lbs x 5 reps,215 lbs,5
2013-12-27 13:31,Squat,1,4,0,215 lbs x 5 reps,215 lbs,5
2013-12-27 13:31,Overhead Press,2,1,0,65 lbs x 5 reps,65 lbs,5
2013-12-27 13:31,Overhead Press,2,2,0,95 lbs x 5 reps,95 lbs,5
2013-12-27 13:31,Overhead Press,2,3,0,115 lbs x 5 reps,115 lbs,5
2013-12-27 13:31,Overhead Press,2,4,0,115 lbs x 5 reps,115 lbs,5
2013-12-27 13:31,Chin-Up,3,1,0,5 reps,,5
2013-12-27 13:31,Chin-Up,3,2,0,5 reps,,5
2013-12-27 13:31,Chin-Up,3,3,0,5 reps,,5
