Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2013-12-10 09:23,Overhead Press,1,1,0,60 lbs x 5 reps,60 lbs,5
2013-12-10 09:23,Overhead Press,1,2,0,75 lbs x 5 reps,75 lbs,5
2013-12-10 09:23,Overhead Press,1,3,0,90 lbs x 3 reps,90 lbs,3
2013-12-10 09:23,Overhead Press,1,4,0,110 lbs x 5 reps,110 lbs,5
2013-12-10 09:23,Overhead Press,1,5,0,125 lbs x 3 reps,125 lbs,3
2013-12-10 09:23,Overhead Press,1,6,0,140 lbs x 4 reps,140 lbs,4
2013-12-10 09:23,Weighted Dip,2,1,0,25 lbs x 5 reps,25 lbs,5
2013-12-10 09:23,Weighted Dip,2,2,0,25 lbs x 5 reps,25 lbs,5
2013-12-10 09:23,Weighted Dip,2,3,0,25 lbs x 5 reps,25 lbs,5
2013-12-10 09:23,Weighted Dip,2,4,1,25 lbs x 10 reps,25 lbs,10
2013-12-10 09:23,Weighted Chin-Up,3,1,0,10 lbs x 5 reps,10 lbs,5
2013-12-10 09:23,Weighted Chin-Up,3,2,0,10 lbs x 5 reps,10 lbs,5
2013-12-10 09:23,Weighted Chin-Up,3,3,0,10 lbs x 5 reps,10 lbs,5
2013-12-10 09:23,Weighted Chin-Up,3,4,0,10 lbs x 2 reps,10 lbs,2
