Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-10-30 14:00,Foam Rolling,1,1,0,4:00,240 sec,,
2012-10-30 14:00,Bench Press,2,1,0,45 lbs x 5 reps,,45 lbs,5
2012-10-30 14:00,Bench Press,2,2,0,85 lbs x 5 reps,,85 lbs,5
2012-10-30 14:00,Bench Press,2,3,0,115 lbs x 3 reps,,115 lbs,3
2012-10-30 14:00,Bench Press,2,4,0,130 lbs x 5 reps,,130 lbs,5
2012-10-30 14:00,Bench Press,2,5,0,130 lbs x 5 reps,,130 lbs,5
2012-10-30 14:00,Bench Press,2,6,1,130 lbs x 10 reps,,130 lbs,10
2012-10-30 14:00,Squat,3,1,0,45 lbs x 5 reps,,45 lbs,5
2012-10-30 14:00,Squat,3,2,0,95 lbs x 5 reps,,95 lbs,5
2012-10-30 14:00,Squat,3,3,0,135 lbs x 3 reps,,135 lbs,3
2012-10-30 14:00,Squat,3,4,0,155 lbs x 5 reps,,155 lbs,5
2012-10-30 14:00,Squat,3,5,0,155 lbs x 5 reps,,155 lbs,5
2012-10-30 14:00,Squat,3,6,1,155 lbs x 6 reps,,155 lbs,6
2012-10-30 14:00,Chin-Up,4,1,0,8 reps,,,8
2012-10-30 14:00,Chin-Up,4,2,0,8 reps,,,8
