Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
2012-10-27 14:00,Goblet Squat,1,1,0,35 lbs x 10 reps,35 lbs,10,
2012-10-27 14:00,Overhead Press,2,1,0,45 lbs x 5 reps,45 lbs,5,
2012-10-27 14:00,Overhead Press,2,2,0,65 lbs x 5 reps,65 lbs,5,
2012-10-27 14:00,Overhead Press,2,3,0,85 lbs x 3 reps,85 lbs,3,
2012-10-27 14:00,Overhead Press,2,4,0,100 lbs x 5 reps,100 lbs,5,
2012-10-27 14:00,Overhead Press,2,5,0,100 lbs x 5 reps,100 lbs,5,
2012-10-27 14:00,Overhead Press,2,6,1,100 lbs x 6 reps,100 lbs,6,
2012-10-27 14:00,Squat,3,1,0,65 lbs x 5 reps,65 lbs,5,
2012-10-27 14:00,Squat,3,2,0,95 lbs x 5 reps,95 lbs,5,
2012-10-27 14:00,Squat,3,3,0,115 lbs x 3 reps,115 lbs,3,
2012-10-27 14:00,Squat,3,4,0,150 lbs x 5 reps,150 lbs,5,
2012-10-27 14:00,Squat,3,5,0,150 lbs x 5 reps,150 lbs,5,
2012-10-27 14:00,Squat,3,6,1,150 lbs x 5 reps,150 lbs,5,
2012-10-27 14:00,Weighted Dip,4,1,0,x 8 reps,,8,
2012-10-27 14:00,Weighted Dip,4,2,0,x 8 reps,,8,
2012-10-27 14:00,Foam Rolling,5,1,0,25:00,,,1500 sec
