Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
2012-10-17 11:25,Goblet Squat,1,1,0,35 lbs x 10 reps,35 lbs,10,
2012-10-17 11:25,Overhead Press,2,1,0,45 lbs x 5 reps,45 lbs,5,
2012-10-17 11:25,Overhead Press,2,2,0,65 lbs x 5 reps,65 lbs,5,
2012-10-17 11:25,Overhead Press,2,3,0,95 lbs x 5 reps,95 lbs,5,
2012-10-17 11:25,Overhead Press,2,4,0,95 lbs x 5 reps,95 lbs,5,
2012-10-17 11:25,Overhead Press,2,5,0,95 lbs x 7 reps,95 lbs,7,
2012-10-17 11:25,Weighted Dip,3,1,0,x 8 reps,,8,
2012-10-17 11:25,Weighted Dip,3,2,0,x 8 reps,,8,
2012-10-17 11:25,Deadlift,4,1,0,95 lbs x 5 reps,95 lbs,5,
2012-10-17 11:25,Deadlift,4,2,0,135 lbs x 5 reps,135 lbs,5,
2012-10-17 11:25,Deadlift,4,3,1,155 lbs x 10 reps,155 lbs,10,
2012-10-17 11:25,Foam Rolling,5,1,0,10:00,,,600 sec
