Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-10-06 19:13,Foam Rolling,1,1,0,4:00,240 sec,,
2012-10-06 19:13,Goblet Squat,2,1,0,35 lbs x 6 reps,,35 lbs,6
2012-10-06 19:13,Bench Press,3,1,0,45 lbs x 5 reps,,45 lbs,5
2012-10-06 19:13,Bench Press,3,2,0,85 lbs x 5 reps,,85 lbs,5
2012-10-06 19:13,Bench Press,3,3,0,115 lbs x 5 reps,,115 lbs,5
2012-10-06 19:13,Bench Press,3,4,0,115 lbs x 5 reps,,115 lbs,5
2012-10-06 19:13,Bench Press,3,5,1,115 lbs x 10 reps,,115 lbs,10
2012-10-06 19:13,Chin-Up,4,1,0,8 reps,,,8
2012-10-06 19:13,Chin-Up,4,2,0,8 reps,,,8
2012-10-06 19:13,Squat,5,1,0,45 lbs x 5 reps,,45 lbs,5
2012-10-06 19:13,Squat,5,2,0,85 lbs x 5 reps,,85 lbs,5
2012-10-06 19:13,Squat,5,3,0,120 lbs x 5 reps,,120 lbs,5
2012-10-06 19:13,Squat,5,4,0,120 lbs x 5 reps,,120 lbs,5
2012-10-06 19:13,Squat,5,5,1,120 lbs x 8 reps,,120 lbs,8
