Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2013-11-08 10:08,Squat,1,1,0,135 lbs x 5 reps,135 lbs,5
2013-11-08 10:08,Squat,1,2,0,160 lbs x 5 reps,160 lbs,5
2013-11-08 10:08,Squat,1,3,0,195 lbs x 5 reps,195 lbs,5
2013-11-08 10:08,Squat,1,4,0,225 lbs x 5 reps,225 lbs,5
2013-11-08 10:08,Squat,1,5,0,265 lbs x 3 reps,265 lbs,3
2013-11-08 10:08,Squat,1,6,1,195 lbs x 10 reps,195 lbs,10
2013-11-08 10:08,Bench Press,2,1,0,95 lbs x 5 reps,95 lbs,5
2013-11-08 10:08,Bench Press,2,2,0,115 lbs x 5 reps,115 lbs,5
2013-11-08 10:08,Bench Press,2,3,0,140 lbs x 5 reps,140 lbs,5
2013-11-08 10:08,Bench Press,2,4,0,165 lbs x 5 reps,165 lbs,5
2013-11-08 10:08,Bench Press,2,5,0,190 lbs x 3 reps,190 lbs,3
2013-11-08 10:08,Bench Press,2,6,0,140 lbs x 8 reps,140 lbs,8
2013-11-08 10:08,Pendlay Row,3,1,0,80 lbs x 5 reps,80 lbs,5
2013-11-08 10:08,Pendlay Row,3,2,0,105 lbs x 5 reps,105 lbs,5
2013-11-08 10:08,Pendlay Row,3,3,0,125 lbs x 5 reps,125 lbs,5
2013-11-08 10:08,Pendlay Row,3,4,0,145 lbs x 5 reps,145 lbs,5
2013-11-08 10:08,Pendlay Row,3,5,0,170 lbs x 3 reps,170 lbs,3
2013-11-08 10:08,Pendlay Row,3,6,1,125 lbs x 8 reps,125 lbs,8
