Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2013-11-22 09:50,Squat,1,1,0,135 lbs x 5 reps,135 lbs,5
2013-11-22 09:50,Squat,1,2,0,165 lbs x 5 reps,165 lbs,5
2013-11-22 09:50,Squat,1,3,0,205 lbs x 5 reps,205 lbs,5
2013-11-22 09:50,Squat,1,4,0,205 lbs x 5 reps,205 lbs,5
2013-11-22 09:50,Overhead Press,2,1,0,65 lbs x 5 reps,65 lbs,5
2013-11-22 09:50,Overhead Press,2,2,0,85 lbs x 5 reps,85 lbs,5
2013-11-22 09:50,Overhead Press,2,3,0,105 lbs x 5 reps,105 lbs,5
2013-11-22 09:50,Overhead Press,2,4,0,105 lbs x 5 reps,105 lbs,5
2013-11-22 09:50,Chin-Up,3,1,0,5 reps,,5
2013-11-22 09:50,Chin-Up,3,2,0,5 reps,,5
2013-11-22 09:50,Chin-Up,3,3,0,5 reps,,5
