Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-05-15 08:04,Overhead Press,1,1,0,60 lbs x 5 reps,60 lbs,5
2014-05-15 08:04,Overhead Press,1,2,0,70 lbs x 5 reps,70 lbs,5
2014-05-15 08:04,Overhead Press,1,3,0,85 lbs x 3 reps,85 lbs,3
2014-05-15 08:04,Overhead Press,1,4,0,105 lbs x 5 reps,105 lbs,5
2014-05-15 08:04,Overhead Press,1,5,0,120 lbs x 3 reps,120 lbs,3
2014-05-15 08:04,Overhead Press,1,6,0,135 lbs x 4 reps,135 lbs,4
2014-05-15 08:04,Deadlift,2,1,0,135 lbs x 5 reps,135 lbs,5
2014-05-15 08:04,Deadlift,2,2,0,165 lbs x 5 reps,165 lbs,5
2014-05-15 08:04,Deadlift,2,3,0,200 lbs x 3 reps,200 lbs,3
2014-05-15 08:04,Deadlift,2,4,0,250 lbs x 5 reps,250 lbs,5
2014-05-15 08:04,Deadlift,2,5,0,285 lbs x 3 reps,285 lbs,3
2014-05-15 08:04,Deadlift,2,6,0,315 lbs x 3 reps,315 lbs,3
2014-05-15 08:04,Dumbbell Row,3,1,0,80 lbs x 8 reps,80 lbs,8
2014-05-15 08:04,Dumbbell Row,3,2,0,80 lbs x 8 reps,80 lbs,8
2014-05-15 08:04,Dumbbell Row,3,3,0,80 lbs x 8 reps,80 lbs,8
2014-05-15 08:04,Calf Raise,4,1,0,265 lbs x 8 reps,265 lbs,8
2014-05-15 08:04,Calf Raise,4,2,0,265 lbs x 8 reps,265 lbs,8
2014-05-15 08:04,Calf Raise,4,3,1,265 lbs x 8 reps,265 lbs,8
