Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-05-16 20:03,Kettlebell Snatch,1,1,0,35 lbs x 7 reps,35 lbs,7
2014-05-16 20:03,Kettlebell Snatch,1,2,0,35 lbs x 7 reps,35 lbs,7
2014-05-16 20:03,Kettlebell Snatch,1,3,0,35 lbs x 7 reps,35 lbs,7
2014-05-16 20:03,Kettlebell Snatch,1,4,0,35 lbs x 7 reps,35 lbs,7
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,1,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,2,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,3,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,4,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,5,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,6,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,7,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,8,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,9,0,53 lbs x 10 reps,53 lbs,10
2014-05-16 20:03,Two-Arm Kettlebell Swing,2,10,0,53 lbs x 10 reps,53 lbs,10
