Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-05-22 08:36,Deadlift,1,1,0,140 lbs x 5 reps,140 lbs,5
2014-05-22 08:36,Deadlift,1,2,0,170 lbs x 5 reps,170 lbs,5
2014-05-22 08:36,Deadlift,1,3,0,205 lbs x 3 reps,205 lbs,3
2014-05-22 08:36,Deadlift,1,4,0,225 lbs x 5 reps,225 lbs,5
2014-05-22 08:36,Deadlift,1,5,0,255 lbs x 5 reps,255 lbs,5
2014-05-22 08:36,Deadlift,1,6,0,290 lbs x 5 reps,290 lbs,5
2014-05-22 08:36,Overhead Press,2,1,0,60 lbs x 5 reps,60 lbs,5
2014-05-22 08:36,Overhead Press,2,2,0,75 lbs x 5 reps,75 lbs,5
2014-05-22 08:36,Overhead Press,2,3,0,90 lbs x 3 reps,90 lbs,3
2014-05-22 08:36,Overhead Press,2,4,0,95 lbs x 5 reps,95 lbs,5
2014-05-22 08:36,Overhead Press,2,5,0,110 lbs x 5 reps,110 lbs,5
2014-05-22 08:36,Overhead Press,2,6,0,125 lbs x 6 reps,125 lbs,6
2014-05-22 08:36,Weighted Dip,3,1,0,25 lbs x 5 reps,25 lbs,5
2014-05-22 08:36,Weighted Dip,3,2,0,25 lbs x 5 reps,25 lbs,5
2014-05-22 08:36,Weighted Dip,3,3,0,25 lbs x 5 reps,25 lbs,5
2014-05-22 08:36,Weighted Dip,3,4,0,25 lbs x 5 reps,25 lbs,5
2014-05-22 08:36,Chin-Up,4,1,0,5 reps,,5
2014-05-22 08:36,Chin-Up,4,2,0,5 reps,,5
2014-05-22 08:36,Chin-Up,4,3,0,5 reps,,5
2014-05-22 08:36,Chin-Up,4,4,0,5 reps,,5
2014-05-22 08:36,Calf Raise,5,1,0,215 lbs x 8 reps,215 lbs,8
2014-05-22 08:36,Calf Raise,5,2,0,215 lbs x 8 reps,215 lbs,8
2014-05-22 08:36,Calf Raise,5,3,0,215 lbs x 8 reps,215 lbs,8
2014-05-22 08:36,Curl,6,1,0,65 lbs x 8 reps,65 lbs,8
2014-05-22 08:36,Curl,6,2,1,65 lbs x 8 reps,65 lbs,8
2014-05-22 08:36,Curl,6,3,1,65 lbs x 5 reps,65 lbs,5
