Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-05-01 09:56,Overhead Press,1,1,0,60 lbs x 5 reps,60 lbs,5
2014-05-01 09:56,Overhead Press,1,2,0,70 lbs x 5 reps,70 lbs,5
2014-05-01 09:56,Overhead Press,1,3,0,85 lbs x 3 reps,85 lbs,3
2014-05-01 09:56,Overhead Press,1,4,0,95 lbs x 5 reps,95 lbs,5
2014-05-01 09:56,Overhead Press,1,5,0,105 lbs x 5 reps,105 lbs,5
2014-05-01 09:56,Overhead Press,1,6,0,120 lbs x 6 reps,120 lbs,6
2014-05-01 09:56,Deadlift,2,1,0,135 lbs x 5 reps,135 lbs,5
2014-05-01 09:56,Deadlift,2,2,0,165 lbs x 5 reps,165 lbs,5
2014-05-01 09:56,Deadlift,2,3,0,200 lbs x 3 reps,200 lbs,3
2014-05-01 09:56,Deadlift,2,4,0,215 lbs x 5 reps,215 lbs,5
2014-05-01 09:56,Deadlift,2,5,0,250 lbs x 5 reps,250 lbs,5
2014-05-01 09:56,Deadlift,2,6,0,285 lbs x 5 reps,285 lbs,5
2014-05-01 09:56,Weighted Dip,3,1,0,25 lbs x 5 reps,25 lbs,5
2014-05-01 09:56,Weighted Dip,3,2,0,25 lbs x 5 reps,25 lbs,5
2014-05-01 09:56,Weighted Dip,3,3,0,25 lbs x 5 reps,25 lbs,5
2014-05-01 09:56,Dumbbell Row,4,1,0,80 lbs x 8 reps,80 lbs,8
2014-05-01 09:56,Dumbbell Row,4,2,0,80 lbs x 8 reps,80 lbs,8
2014-05-01 09:56,Dumbbell Row,4,3,1,80 lbs x 8 reps,80 lbs,8
2014-05-01 09:56,Calf Raise,5,1,0,140 lbs x 8 reps,140 lbs,8
2014-05-01 09:56,Calf Raise,5,2,0,140 lbs x 8 reps,140 lbs,8
2014-05-01 09:56,Calf Raise,5,3,1,140 lbs x 8 reps,140 lbs,8
2014-05-01 09:56,Curl,6,1,0,55 lbs x 8 reps,55 lbs,8
2014-05-01 09:56,Curl,6,2,0,55 lbs x 8 reps,55 lbs,8
2014-05-01 09:56,Curl,6,3,0,55 lbs x 8 reps,55 lbs,8
