Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-02-03 10:12,Squat,1,1,0,120 lbs x 5 reps,120 lbs,5
2014-02-03 10:12,Squat,1,2,0,150 lbs x 5 reps,150 lbs,5
2014-02-03 10:12,Squat,1,3,0,180 lbs x 3 reps,180 lbs,3
2014-02-03 10:12,Squat,1,4,0,210 lbs x 3 reps,210 lbs,3
2014-02-03 10:12,Squat,1,5,0,240 lbs x 3 reps,240 lbs,3
2014-02-03 10:12,Squat,1,6,0,270 lbs x 5 reps,270 lbs,5
2014-02-03 10:12,Romanian Deadlift,2,1,0,135 lbs x 5 reps,135 lbs,5
2014-02-03 10:12,Romanian Deadlift,2,2,0,135 lbs x 5 reps,135 lbs,5
2014-02-03 10:12,Romanian Deadlift,2,3,0,135 lbs x 5 reps,135 lbs,5
2014-02-03 10:12,Romanian Deadlift,2,4,0,135 lbs x 5 reps,135 lbs,5
2014-02-03 10:12,Bulgarian Split Squat,3,1,0,70 lbs x 5 reps,70 lbs,5
2014-02-03 10:12,Bulgarian Split Squat,3,2,0,70 lbs x 5 reps,70 lbs,5
2014-02-03 10:12,Bulgarian Split Squat,3,3,0,70 lbs x 5 reps,70 lbs,5
2014-02-03 10:12,Bulgarian Split Squat,3,4,0,70 lbs x 5 reps,70 lbs,5
