Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-04-07 18:40,Foam Rolling,1,1,0,20:00,1200 sec,,
2013-04-07 18:40,Squat,2,1,0,105 lbs x 5 reps,,105 lbs,5
2013-04-07 18:40,Squat,2,2,0,130 lbs x 5 reps,,130 lbs,5
2013-04-07 18:40,Squat,2,3,0,160 lbs x 3 reps,,160 lbs,3
2013-04-07 18:40,Squat,2,4,0,185 lbs x 3 reps,,185 lbs,3
2013-04-07 18:40,Squat,2,5,0,210 lbs x 3 reps,,210 lbs,3
2013-04-07 18:40,Squat,2,6,0,235 lbs x 5 reps,,235 lbs,5
2013-04-07 18:40,Deadlift,3,1,0,155 lbs x 10 reps,,155 lbs,10
2013-04-07 18:40,Deadlift,3,2,0,155 lbs x 10 reps,,155 lbs,10
2013-04-07 18:40,Deadlift,3,3,0,155 lbs x 10 reps,,155 lbs,10
2013-04-07 18:40,Deadlift,3,4,0,155 lbs x 10 reps,,155 lbs,10
2013-04-07 18:40,Deadlift,3,5,0,155 lbs x 10 reps,,155 lbs,10
