Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
2013-06-27 13:57,Bench Press,1,1,0,80 lbs x 5 reps,80 lbs,5,
2013-06-27 13:57,Bench Press,1,2,0,100 lbs x 5 reps,100 lbs,5,
2013-06-27 13:57,Bench Press,1,3,0,120 lbs x 3 reps,120 lbs,3,
2013-06-27 13:57,Bench Press,1,4,0,140 lbs x 3 reps,140 lbs,3,
2013-06-27 13:57,Bench Press,1,5,0,160 lbs x 3 reps,160 lbs,3,
2013-06-27 13:57,Bench Press,1,6,0,180 lbs x 5 reps,180 lbs,5,
2013-06-27 13:57,Overhead Press,2,1,0,75 lbs x 10 reps,75 lbs,10,
2013-06-27 13:57,Overhead Press,2,2,0,75 lbs x 10 reps,75 lbs,10,
2013-06-27 13:57,Overhead Press,2,3,0,75 lbs x 10 reps,75 lbs,10,
2013-06-27 13:57,Foam Rolling,3,1,0,10:00,,,600 sec
