Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
2013-06-20 12:03,Bench Press,1,1,0,80 lbs x 5 reps,80 lbs,5,
2013-06-20 12:03,Bench Press,1,2,0,100 lbs x 5 reps,100 lbs,5,
2013-06-20 12:03,Bench Press,1,3,0,120 lbs x 3 reps,120 lbs,3,
2013-06-20 12:03,Bench Press,1,4,0,130 lbs x 5 reps,130 lbs,5,
2013-06-20 12:03,Bench Press,1,5,0,150 lbs x 5 reps,150 lbs,5,
2013-06-20 12:03,Bench Press,1,6,0,170 lbs x 7 reps,170 lbs,7,
2013-06-20 12:03,Overhead Press,2,1,0,75 lbs x 10 reps,75 lbs,10,
2013-06-20 12:03,Overhead Press,2,2,0,75 lbs x 10 reps,75 lbs,10,
2013-06-20 12:03,Overhead Press,2,3,0,75 lbs x 10 reps,75 lbs,10,
2013-06-20 12:03,Overhead Press,2,4,0,75 lbs x 10 reps,75 lbs,10,
2013-06-20 12:03,Overhead Press,2,5,0,75 lbs x 8 reps,75 lbs,8,
2013-06-20 12:03,Foam Rolling,3,1,0,12:00,,,720 sec
