Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
2013-06-03 10:56,Overhead Press,1,1,0,60 lbs x 5 reps,60 lbs,5,
2013-06-03 10:56,Overhead Press,1,2,0,75 lbs x 5 reps,75 lbs,5,
2013-06-03 10:56,Overhead Press,1,3,0,90 lbs x 3 reps,90 lbs,3,
2013-06-03 10:56,Overhead Press,1,4,0,110 lbs x 5 reps,110 lbs,5,
2013-06-03 10:56,Overhead Press,1,5,0,125 lbs x 3 reps,125 lbs,3,
2013-06-03 10:56,Overhead Press,1,6,1,140 lbs x 1 reps,140 lbs,1,
2013-06-03 10:56,Bench Press,2,1,0,100 lbs x 10 reps,100 lbs,10,
2013-06-03 10:56,Bench Press,2,2,0,100 lbs x 10 reps,100 lbs,10,
2013-06-03 10:56,Bench Press,2,3,0,100 lbs x 10 reps,100 lbs,10,
2013-06-03 10:56,Bench Press,2,4,0,100 lbs x 10 reps,100 lbs,10,
2013-06-03 10:56,Bench Press,2,5,0,100 lbs x 10 reps,100 lbs,10,
2013-06-03 10:56,Chin-Up,3,1,0,5 reps,,5,
2013-06-03 10:56,Chin-Up,3,2,0,6 reps,,6,
2013-06-03 10:56,Chin-Up,3,3,0,6 reps,,6,
2013-06-03 10:56,Chin-Up,3,4,0,6 reps,,6,
2013-06-03 10:56,Chin-Up,3,5,0,6 reps,,6,
2013-06-03 10:56,Curl,4,1,0,55 lbs x 8 reps,55 lbs,8,
2013-06-03 10:56,Curl,4,2,0,55 lbs x 8 reps,55 lbs,8,
2013-06-03 10:56,Curl,4,3,0,55 lbs x 7 reps,55 lbs,7,
2013-06-03 10:56,Foam Rolling,5,1,0,15:00,,,900 sec
