Performed At,Exercise,Exercise#,Set#,IsPR,String,Reps,Weight
2014-04-28 08:37,Bodyweight Bulgarian Split Squat,1,1,0,5 reps,5,
2014-04-28 08:37,Bulgarian Split Squat,2,1,0,40 lbs x 5 reps,5,40 lbs
2014-04-28 08:37,Bulgarian Split Squat,2,2,0,80 lbs x 5 reps,5,80 lbs
2014-04-28 08:37,Bulgarian Split Squat,2,3,0,80 lbs x 5 reps,5,80 lbs
2014-04-28 08:37,Bulgarian Split Squat,2,4,0,80 lbs x 5 reps,5,80 lbs
2014-04-28 08:37,Bulgarian Split Squat,2,5,0,80 lbs x 5 reps,5,80 lbs
2014-04-28 08:37,Bench Press,3,1,0,80 lbs x 5 reps,5,80 lbs
2014-04-28 08:37,Bench Press,3,2,0,100 lbs x 5 reps,5,100 lbs
2014-04-28 08:37,Bench Press,3,3,0,120 lbs x 3 reps,3,120 lbs
2014-04-28 08:37,Bench Press,3,4,0,130 lbs x 5 reps,5,130 lbs
2014-04-28 08:37,Bench Press,3,5,0,150 lbs x 5 reps,5,150 lbs
2014-04-28 08:37,Bench Press,3,6,0,170 lbs x 10 reps,10,170 lbs
2014-04-28 08:37,Chin-Up,4,1,0,5 reps,5,
2014-04-28 08:37,Chin-Up,4,2,0,5 reps,5,
2014-04-28 08:37,Chin-Up,4,3,0,5 reps,5,
2014-04-28 08:37,Chin-Up,4,4,0,5 reps,5,
2014-04-28 08:37,Bodyweight Dip,5,1,0,8 reps,8,
2014-04-28 08:37,Bodyweight Dip,5,2,0,8 reps,8,
2014-04-28 08:37,Bodyweight Dip,5,3,0,8 reps,8,
2014-04-28 08:37,Curl,6,1,0,55 lbs x 8 reps,8,55 lbs
2014-04-28 08:37,Curl,6,2,0,55 lbs x 8 reps,8,55 lbs
2014-04-28 08:37,Curl,6,3,0,55 lbs x 8 reps,8,55 lbs
