Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-04-16 08:51,Overhead Press,1,1,0,80 lbs x 5 reps,80 lbs,5
2014-04-16 08:51,Overhead Press,1,2,0,95 lbs x 5 reps,95 lbs,5
2014-04-16 08:51,Overhead Press,1,3,0,115 lbs x 5 reps,115 lbs,5
2014-04-16 08:51,Overhead Press,1,4,0,130 lbs x 5 reps,130 lbs,5
2014-04-16 08:51,Dumbbell Row,2,1,0,75 lbs x 8 reps,75 lbs,8
2014-04-16 08:51,Dumbbell Row,2,2,0,75 lbs x 8 reps,75 lbs,8
2014-04-16 08:51,Dumbbell Row,2,3,0,75 lbs x 8 reps,75 lbs,8
2014-04-16 08:51,Dumbbell Row,2,4,0,75 lbs x 8 reps,75 lbs,8
2014-04-16 08:51,Dumbbell Row,2,5,0,75 lbs x 8 reps,75 lbs,8
