Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-04-24 08:22,Overhead Press,1,1,0,60 lbs x 5 reps,60 lbs,5
2014-04-24 08:22,Overhead Press,1,2,0,70 lbs x 5 reps,70 lbs,5
2014-04-24 08:22,Overhead Press,1,3,0,85 lbs x 5 reps,85 lbs,5
2014-04-24 08:22,Overhead Press,1,4,0,95 lbs x 5 reps,95 lbs,5
2014-04-24 08:22,Overhead Press,1,5,0,105 lbs x 5 reps,105 lbs,5
2014-04-24 08:22,Overhead Press,1,6,0,120 lbs x 7 reps,120 lbs,7
2014-04-24 08:22,Bodyweight Bulgarian Split Squat,2,1,0,5 reps,,5
2014-04-24 08:22,Bulgarian Split Squat,3,1,0,40 lbs x 5 reps,40 lbs,5
2014-04-24 08:22,Bulgarian Split Squat,3,2,0,80 lbs x 5 reps,80 lbs,5
2014-04-24 08:22,Bulgarian Split Squat,3,3,0,80 lbs x 5 reps,80 lbs,5
2014-04-24 08:22,Bulgarian Split Squat,3,4,0,80 lbs x 5 reps,80 lbs,5
2014-04-24 08:22,Bulgarian Split Squat,3,5,0,80 lbs x 5 reps,80 lbs,5
2014-04-24 08:22,Chin-Up,4,1,0,5 reps,,5
2014-04-24 08:22,Chin-Up,4,2,0,5 reps,,5
2014-04-24 08:22,Chin-Up,4,3,0,5 reps,,5
2014-04-24 08:22,Chin-Up,4,4,0,5 reps,,5
2014-04-24 08:22,Calf Raise,5,1,0,90 lbs x 8 reps,90 lbs,8
2014-04-24 08:22,Calf Raise,5,2,0,90 lbs x 8 reps,90 lbs,8
2014-04-24 08:22,Calf Raise,5,3,1,90 lbs x 8 reps,90 lbs,8
