Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-03-11 10:56,Foam Rolling,1,1,0,14:00,840 sec,,
2013-03-11 10:56,Squat,2,1,0,105 lbs x 5 reps,,105 lbs,5
2013-03-11 10:56,Squat,2,2,0,145 lbs x 5 reps,,145 lbs,5
2013-03-11 10:56,Squat,2,3,0,195 lbs x 3 reps,,195 lbs,3
2013-03-11 10:56,Squat,2,4,0,240 lbs x 5 reps,,240 lbs,5
2013-03-11 10:56,Squat,2,5,0,240 lbs x 5 reps,,240 lbs,5
2013-03-11 10:56,Squat,2,6,1,240 lbs x 5 reps,,240 lbs,5
2013-03-11 10:56,Bench Press,3,1,0,95 lbs x 5 reps,,95 lbs,5
2013-03-11 10:56,Bench Press,3,2,0,135 lbs x 5 reps,,135 lbs,5
2013-03-11 10:56,Bench Press,3,3,0,155 lbs x 3 reps,,155 lbs,3
2013-03-11 10:56,Bench Press,3,4,0,177.5 lbs x 5 reps,,177.5 lbs,5
2013-03-11 10:56,Bench Press,3,5,0,177.5 lbs x 5 reps,,177.5 lbs,5
2013-03-11 10:56,Bench Press,3,6,1,177.5 lbs x 5 reps,,177.5 lbs,5
