Performed At,Exercise,Exercise#,Set#,IsPR,String,Reps,Weight
2012-06-10 17:16,Chin-Up,1,1,0,5 reps,5,
2012-06-10 17:16,Chin-Up,1,2,0,5 reps,5,
2012-06-10 17:16,Chin-Up,1,3,0,6 reps,6,
2012-06-10 17:16,Goblet Squat,2,1,0,35 lbs x 10 reps,10,35 lbs
2012-06-10 17:16,Goblet Squat,2,2,0,35 lbs x 10 reps,10,35 lbs
2012-06-10 17:16,Goblet Squat,2,3,0,35 lbs x 10 reps,10,35 lbs
2012-06-10 17:16,Push Up,3,1,0,15 reps,15,
2012-06-10 17:16,Push Up,3,2,0,15 reps,15,
2012-06-10 17:16,Push Up,3,3,0,15 reps,15,
