Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration
2012-06-13 22:57,Foam Rolling,1,1,0,15:00,900 sec
2012-06-13 22:57,Foam Rolling,1,2,0,15:00,900 sec
2012-06-13 22:57,Foam Rolling,1,3,0,15:00,900 sec
