Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration
2012-06-11 20:53,Plank,1,1,0,1:00,60 sec
2012-06-11 20:53,Plank,1,2,0,1:00,60 sec
2012-06-11 20:53,Plank,1,3,0,1:00,60 sec
