Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration
2012-06-23 14:00,Foam Rolling,1,1,0,15:00,900 sec
2012-06-23 14:00,Foam Rolling,1,2,0,5:00,300 sec
2012-06-23 14:00,Hiking,2,1,0,1:00:00,3600 sec
