Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Reps
2012-06-17 18:52,Foam Rolling,1,1,0,15:00,900 sec,
2012-06-17 18:52,Foam Rolling,1,2,0,9:00,540 sec,
2012-06-17 18:52,Chin-Up,2,1,0,6 reps,,6
2012-06-17 18:52,Chin-Up,2,2,0,6 reps,,6
2012-06-17 18:52,Chin-Up,2,3,0,6 reps,,6
