Performed At,Exercise,Exercise#,Set#,IsPR,String,Reps,Weight
2012-06-12 23:18,Chin-Up,1,1,0,5 reps,5,
2012-06-12 23:18,Chin-Up,1,2,0,6 reps,6,
2012-06-12 23:18,Chin-Up,1,3,0,6 reps,6,
2012-06-12 23:18,Goblet Squat,2,1,0,35 lbs x 10 reps,10,35 lbs
2012-06-12 23:18,Goblet Squat,2,2,0,35 lbs x 10 reps,10,35 lbs
2012-06-12 23:18,Goblet Squat,2,3,0,35 lbs x 10 reps,10,35 lbs
2012-06-12 23:18,Push Up,3,1,0,16 reps,16,
2012-06-12 23:18,Push Up,3,2,0,16 reps,16,
2012-06-12 23:18,Push Up,3,3,0,16 reps,16,
