Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-12-16 18:30,Foam Rolling,1,1,0,8:00,480 sec,,
2012-12-16 18:30,Goblet Squat,2,1,0,35 lbs x 10 reps,,35 lbs,10
2012-12-16 18:30,Overhead Press,3,1,0,45 lbs x 5 reps,,45 lbs,5
2012-12-16 18:30,Overhead Press,3,2,0,65 lbs x 5 reps,,65 lbs,5
2012-12-16 18:30,Overhead Press,3,3,0,85 lbs x 3 reps,,85 lbs,3
2012-12-16 18:30,Overhead Press,3,4,0,107.5 lbs x 5 reps,,107.5 lbs,5
2012-12-16 18:30,Overhead Press,3,5,0,107.5 lbs x 5 reps,,107.5 lbs,5
2012-12-16 18:30,Overhead Press,3,6,0,107.5 lbs x 7 reps,,107.5 lbs,7
2012-12-16 18:30,Squat,4,1,0,95 lbs x 5 reps,,95 lbs,5
2012-12-16 18:30,Squat,4,2,0,135 lbs x 5 reps,,135 lbs,5
2012-12-16 18:30,Squat,4,3,0,185 lbs x 3 reps,,185 lbs,3
2012-12-16 18:30,Squat,4,4,1,210 lbs x 5 reps,,210 lbs,5
2012-12-16 18:30,Squat,4,5,1,210 lbs x 4 reps,,210 lbs,4
2012-12-16 18:30,Weighted Dip,5,1,0,x 8 reps,,,8
2012-12-16 18:30,Weighted Dip,5,2,0,x 8 reps,,,8
2012-12-16 18:30,Weighted Dip,5,3,0,x 8 reps,,,8
2012-12-16 18:30,Dumbbell Curl,6,1,0,25 lbs x 6 reps,,25 lbs,6
2012-12-16 18:30,Dumbbell Curl,6,2,0,25 lbs x 6 reps,,25 lbs,6
2012-12-16 18:30,Dumbbell Curl,6,3,0,25 lbs x 6 reps,,25 lbs,6
