Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-12-03 10:27,Foam Rolling,1,1,0,8:00,480 sec,,
2012-12-03 10:27,Bench Press,2,1,0,45 lbs x 5 reps,,45 lbs,5
2012-12-03 10:27,Bench Press,2,2,0,95 lbs x 5 reps,,95 lbs,5
2012-12-03 10:27,Bench Press,2,3,0,115 lbs x 5 reps,,115 lbs,5
2012-12-03 10:27,Bench Press,2,4,0,135 lbs x 3 reps,,135 lbs,3
2012-12-03 10:27,Bench Press,2,5,0,152.5 lbs x 5 reps,,152.5 lbs,5
2012-12-03 10:27,Bench Press,2,6,0,152.5 lbs x 5 reps,,152.5 lbs,5
2012-12-03 10:27,Bench Press,2,7,1,152.5 lbs x 8 reps,,152.5 lbs,8
2012-12-03 10:27,Squat,3,1,0,45 lbs x 5 reps,,45 lbs,5
2012-12-03 10:27,Squat,3,2,0,95 lbs x 5 reps,,95 lbs,5
2012-12-03 10:27,Squat,3,3,0,135 lbs x 5 reps,,135 lbs,5
2012-12-03 10:27,Squat,3,4,0,165 lbs x 3 reps,,165 lbs,3
2012-12-03 10:27,Squat,3,5,0,195 lbs x 5 reps,,195 lbs,5
2012-12-03 10:27,Squat,3,6,0,195 lbs x 5 reps,,195 lbs,5
2012-12-03 10:27,Squat,3,7,1,195 lbs x 5 reps,,195 lbs,5
2012-12-03 10:27,Chin-Up,4,1,0,6 reps,,,6
2012-12-03 10:27,Chin-Up,4,2,0,6 reps,,,6
2012-12-03 10:27,Chin-Up,4,3,0,6 reps,,,6
