Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-05-31 11:06,Foam Rolling,1,1,0,15:00,900 sec,,
2013-05-31 11:06,Bench Press,2,1,0,80 lbs x 5 reps,,80 lbs,5
2013-05-31 11:06,Bench Press,2,2,0,100 lbs x 5 reps,,100 lbs,5
2013-05-31 11:06,Bench Press,2,3,0,120 lbs x 3 reps,,120 lbs,3
2013-05-31 11:06,Bench Press,2,4,0,140 lbs x 3 reps,,140 lbs,3
2013-05-31 11:06,Bench Press,2,5,0,160 lbs x 3 reps,,160 lbs,3
2013-05-31 11:06,Bench Press,2,6,0,180 lbs x 5 reps,,180 lbs,5
2013-05-31 11:06,Overhead Press,3,1,0,75 lbs x 10 reps,,75 lbs,10
2013-05-31 11:06,Overhead Press,3,2,0,75 lbs x 10 reps,,75 lbs,10
2013-05-31 11:06,Overhead Press,3,3,0,75 lbs x 10 reps,,75 lbs,10
2013-05-31 11:06,Overhead Press,3,4,0,75 lbs x 9 reps,,75 lbs,9
2013-05-31 11:06,Overhead Press,3,5,0,75 lbs x 7 reps,,75 lbs,7
2013-05-31 11:06,Curl,4,1,0,55 lbs x 8 reps,,55 lbs,8
2013-05-31 11:06,Curl,4,2,0,55 lbs x 8 reps,,55 lbs,8
2013-05-31 11:06,Curl,4,3,0,55 lbs x 6 reps,,55 lbs,6
