Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-09-30 12:20,Foam Rolling,1,1,0,15:00,900 sec,,
2013-09-30 12:20,Overhead Press,2,1,0,75 lbs x 5 reps,,75 lbs,5
2013-09-30 12:20,Overhead Press,2,2,0,95 lbs x 5 reps,,95 lbs,5
2013-09-30 12:20,Overhead Press,2,3,0,110 lbs x 3 reps,,110 lbs,3
2013-09-30 12:20,Overhead Press,2,4,0,135 lbs x 3 reps,,135 lbs,3
2013-09-30 12:20,Overhead Press,2,5,0,135 lbs x 2 reps,,135 lbs,2
2013-09-30 12:20,Overhead Press,2,6,0,135 lbs x 2 reps,,135 lbs,2
2013-09-30 12:20,Overhead Press,2,7,1,140 lbs x 3 reps,,140 lbs,3
2013-09-30 12:20,Bench Press,3,1,0,170 lbs x 3 reps,,170 lbs,3
2013-09-30 12:20,Bench Press,3,2,0,170 lbs x 3 reps,,170 lbs,3
2013-09-30 12:20,Bench Press,3,3,0,170 lbs x 3 reps,,170 lbs,3
2013-09-30 12:20,Bench Press,3,4,0,170 lbs x 3 reps,,170 lbs,3
2013-09-30 12:20,Chin-Up,4,1,0,7 reps,,,7
2013-09-30 12:20,Chin-Up,4,2,0,7 reps,,,7
2013-09-30 12:20,Chin-Up,4,3,0,7 reps,,,7
2013-09-30 12:20,Weighted Dip,5,1,0,x 10 reps,,,10
2013-09-30 12:20,Weighted Dip,5,2,0,x 10 reps,,,10
2013-09-30 12:20,Weighted Dip,5,3,0,x 10 reps,,,10
2013-09-30 12:20,Dumbbell Curl,6,1,0,30 lbs x 8 reps,,30 lbs,8
2013-09-30 12:20,Dumbbell Curl,6,2,0,30 lbs x 8 reps,,30 lbs,8
2013-09-30 12:20,Dumbbell Curl,6,3,0,30 lbs x 7 reps,,30 lbs,7
