Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-09-16 10:58,Foam Rolling,1,1,0,10:00,600 sec,,
2013-09-16 10:58,Overhead Press,2,1,0,75 lbs x 5 reps,,75 lbs,5
2013-09-16 10:58,Overhead Press,2,2,0,95 lbs x 5 reps,,95 lbs,5
2013-09-16 10:58,Overhead Press,2,3,0,110 lbs x 3 reps,,110 lbs,3
2013-09-16 10:58,Overhead Press,2,4,0,125 lbs x 3 reps,,125 lbs,3
2013-09-16 10:58,Overhead Press,2,5,0,130 lbs x 2 reps,,130 lbs,2
2013-09-16 10:58,Overhead Press,2,6,0,130 lbs x 2 reps,,130 lbs,2
2013-09-16 10:58,Overhead Press,2,7,0,135 lbs x 3 reps,,135 lbs,3
2013-09-16 10:58,Bench Press,3,1,0,150 lbs x 5 reps,,150 lbs,5
2013-09-16 10:58,Bench Press,3,2,0,150 lbs x 5 reps,,150 lbs,5
2013-09-16 10:58,Bench Press,3,3,0,150 lbs x 5 reps,,150 lbs,5
2013-09-16 10:58,Bench Press,3,4,0,150 lbs x 5 reps,,150 lbs,5
2013-09-16 10:58,Weighted Dip,4,1,0,x 10 reps,,,10
2013-09-16 10:58,Weighted Dip,4,2,0,x 10 reps,,,10
2013-09-16 10:58,Weighted Dip,4,3,0,x 10 reps,,,10
2013-09-16 10:58,Curl,5,1,0,60 lbs x 8 reps,,60 lbs,8
2013-09-16 10:58,Curl,5,2,0,60 lbs x 8 reps,,60 lbs,8
2013-09-16 10:58,Curl,5,3,0,60 lbs x 6 reps,,60 lbs,6
