Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-09-02 16:02,Foam Rolling,1,1,0,10:00,600 sec,,
2013-09-02 16:02,Squat,2,1,0,135 lbs x 5 reps,,135 lbs,5
2013-09-02 16:02,Squat,2,2,0,185 lbs x 3 reps,,185 lbs,3
2013-09-02 16:02,Squat,2,3,0,225 lbs x 1 reps,,225 lbs,1
2013-09-02 16:02,Squat,2,4,0,265 lbs x 1 reps,,265 lbs,1
2013-09-02 16:02,Squat,2,5,0,290 lbs x 2 reps,,290 lbs,2
2013-09-02 16:02,Squat,2,6,1,295 lbs x 2 reps,,295 lbs,2
2013-09-02 16:02,Overhead Press,3,1,0,65 lbs x 5 reps,,65 lbs,5
2013-09-02 16:02,Overhead Press,3,2,0,95 lbs x 3 reps,,95 lbs,3
2013-09-02 16:02,Overhead Press,3,3,0,120 lbs x 1 reps,,120 lbs,1
2013-09-02 16:02,Overhead Press,3,4,1,145 lbs x 2 reps,,145 lbs,2
2013-09-02 16:02,Deadlift,4,1,0,135 lbs x 5 reps,,135 lbs,5
2013-09-02 16:02,Deadlift,4,2,0,185 lbs x 3 reps,,185 lbs,3
2013-09-02 16:02,Deadlift,4,3,0,225 lbs x 1 reps,,225 lbs,1
2013-09-02 16:02,Deadlift,4,4,0,305 lbs x 1 reps,,305 lbs,1
2013-09-02 16:02,Deadlift,4,5,1,345 lbs x 2 reps,,345 lbs,2
2013-09-02 16:02,Bench Press,5,1,0,95 lbs x 5 reps,,95 lbs,5
2013-09-02 16:02,Bench Press,5,2,0,135 lbs x 3 reps,,135 lbs,3
2013-09-02 16:02,Bench Press,5,3,0,155 lbs x 1 reps,,155 lbs,1
2013-09-02 16:02,Bench Press,5,4,0,185 lbs x 1 reps,,185 lbs,1
2013-09-02 16:02,Bench Press,5,5,0,205 lbs x 2 reps,,205 lbs,2
2013-09-02 16:02,Bench Press,5,6,1,210 lbs x 2 reps,,210 lbs,2
