Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-09-17 10:49,Foam Rolling,1,1,0,15:00,900 sec,,
2013-09-17 10:49,Squat,2,1,0,150 lbs x 5 reps,,150 lbs,5
2013-09-17 10:49,Squat,2,2,0,195 lbs x 5 reps,,195 lbs,5
2013-09-17 10:49,Squat,2,3,0,225 lbs x 3 reps,,225 lbs,3
2013-09-17 10:49,Squat,2,4,0,255 lbs x 3 reps,,255 lbs,3
2013-09-17 10:49,Squat,2,5,0,260 lbs x 2 reps,,260 lbs,2
2013-09-17 10:49,Squat,2,6,0,260 lbs x 2 reps,,260 lbs,2
2013-09-17 10:49,Squat,2,7,0,270 lbs x 3 reps,,270 lbs,3
2013-09-17 10:49,Deadlift,3,1,0,245 lbs x 5 reps,,245 lbs,5
2013-09-17 10:49,Deadlift,3,2,0,245 lbs x 5 reps,,245 lbs,5
2013-09-17 10:49,Deadlift,3,3,0,245 lbs x 5 reps,,245 lbs,5
2013-09-17 10:49,Deadlift,3,4,0,245 lbs x 5 reps,,245 lbs,5
2013-09-17 10:49,Chin-Up,4,1,0,7 reps,,,7
2013-09-17 10:49,Chin-Up,4,2,0,7 reps,,,7
2013-09-17 10:49,Chin-Up,4,3,0,4 reps,,,4
