Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-08-06 10:56,Foam Rolling,1,1,0,12:00,720 sec,,
2013-08-06 10:56,Squat,2,1,0,135 lbs x 5 reps,,135 lbs,5
2013-08-06 10:56,Squat,2,2,0,185 lbs x 5 reps,,185 lbs,5
2013-08-06 10:56,Squat,2,3,0,205 lbs x 3 reps,,205 lbs,3
2013-08-06 10:56,Squat,2,4,0,230 lbs x 3 reps,,230 lbs,3
2013-08-06 10:56,Squat,2,5,0,240 lbs x 2 reps,,240 lbs,2
2013-08-06 10:56,Squat,2,6,0,240 lbs x 2 reps,,240 lbs,2
2013-08-06 10:56,Squat,2,7,0,245 lbs x 1 reps,,245 lbs,1
2013-08-06 10:56,Squat,2,8,0,245 lbs x 1 reps,,245 lbs,1
2013-08-06 10:56,Squat,2,9,0,245 lbs x 1 reps,,245 lbs,1
2013-08-06 10:56,Squat,2,10,0,155 lbs x 7 reps,,155 lbs,7
2013-08-06 10:56,Squat,2,11,0,155 lbs x 7 reps,,155 lbs,7
2013-08-06 10:56,Squat,2,12,0,155 lbs x 7 reps,,155 lbs,7
2013-08-06 10:56,Squat,2,13,0,155 lbs x 7 reps,,155 lbs,7
2013-08-06 10:56,Squat,2,14,0,155 lbs x 7 reps,,155 lbs,7
2013-08-06 10:56,Barbell Rear Lunge,3,1,0,65 lbs x 8 reps,,65 lbs,8
2013-08-06 10:56,Barbell Rear Lunge,3,2,0,65 lbs x 8 reps,,65 lbs,8
2013-08-06 10:56,Barbell Rear Lunge,3,3,1,65 lbs x 8 reps,,65 lbs,8
2013-08-06 10:56,Chin-Up,4,1,0,9 reps,,,9
2013-08-06 10:56,Chin-Up,4,2,0,3 reps,,,3
2013-08-06 10:56,Chin-Up,4,3,0,9 reps,,,9
2013-08-06 10:56,Chin-Up,4,4,0,9 reps,,,9
2013-08-06 10:56,Chin-Up,4,5,0,9 reps,,,9
2013-08-06 10:56,Chin-Up,4,6,0,6 reps,,,6
