Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-11-22 13:03,Foam Rolling,1,1,0,15:00,900 sec,,
2012-11-22 13:03,Goblet Squat,2,1,0,35 lbs x 10 reps,,35 lbs,10
2012-11-22 13:03,Overhead Press,3,1,0,45 lbs x 5 reps,,45 lbs,5
2012-11-22 13:03,Overhead Press,3,2,0,75 lbs x 5 reps,,75 lbs,5
2012-11-22 13:03,Overhead Press,3,3,0,95 lbs x 3 reps,,95 lbs,3
2012-11-22 13:03,Overhead Press,3,4,0,112.5 lbs x 5 reps,,112.5 lbs,5
2012-11-22 13:03,Overhead Press,3,5,1,112.5 lbs x 5 reps,,112.5 lbs,5
2012-11-22 13:03,Overhead Press,3,6,1,112.5 lbs x 4 reps,,112.5 lbs,4
2012-11-22 13:03,Deadlift,4,1,0,95 lbs x 5 reps,,95 lbs,5
2012-11-22 13:03,Deadlift,4,2,0,145 lbs x 5 reps,,145 lbs,5
2012-11-22 13:03,Deadlift,4,3,0,185 lbs x 3 reps,,185 lbs,3
2012-11-22 13:03,Deadlift,4,4,1,205 lbs x 5 reps,,205 lbs,5
2012-11-22 13:03,Weighted Dip,5,1,0,x 8 reps,,,8
2012-11-22 13:03,Weighted Dip,5,2,0,x 8 reps,,,8
2012-11-22 13:03,Weighted Dip,5,3,0,x 5 reps,,,5
