Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-11-01 12:21,Foam Rolling,1,1,0,10:00,600 sec,,
2012-11-01 12:21,Goblet Squat,2,1,0,35 lbs x 10 reps,,35 lbs,10
2012-11-01 12:21,Overhead Press,3,1,0,45 lbs x 5 reps,,45 lbs,5
2012-11-01 12:21,Overhead Press,3,2,0,65 lbs x 5 reps,,65 lbs,5
2012-11-01 12:21,Overhead Press,3,3,0,85 lbs x 3 reps,,85 lbs,3
2012-11-01 12:21,Overhead Press,3,4,0,102.5 lbs x 5 reps,,102.5 lbs,5
2012-11-01 12:21,Overhead Press,3,5,0,102.5 lbs x 5 reps,,102.5 lbs,5
2012-11-01 12:21,Overhead Press,3,6,1,102.5 lbs x 5 reps,,102.5 lbs,5
2012-11-01 12:21,Weighted Dip,4,1,0,x 8 reps,,,8
2012-11-01 12:21,Weighted Dip,4,2,0,x 8 reps,,,8
2012-11-01 12:21,Deadlift,5,1,0,95 lbs x 5 reps,,95 lbs,5
2012-11-01 12:21,Deadlift,5,2,0,115 lbs x 5 reps,,115 lbs,5
2012-11-01 12:21,Deadlift,5,3,0,135 lbs x 5 reps,,135 lbs,5
2012-11-01 12:21,Deadlift,5,4,1,175 lbs x 5 reps,,175 lbs,5
