Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-11-05 12:05,Foam Rolling,1,1,0,20:00,1200 sec,,
2012-11-05 12:05,Goblet Squat,2,1,0,35 lbs x 10 reps,,35 lbs,10
2012-11-05 12:05,Overhead Press,3,1,0,45 lbs x 5 reps,,45 lbs,5
2012-11-05 12:05,Overhead Press,3,2,0,65 lbs x 5 reps,,65 lbs,5
2012-11-05 12:05,Overhead Press,3,3,0,85 lbs x 3 reps,,85 lbs,3
2012-11-05 12:05,Overhead Press,3,4,0,105 lbs x 5 reps,,105 lbs,5
2012-11-05 12:05,Overhead Press,3,5,0,105 lbs x 5 reps,,105 lbs,5
2012-11-05 12:05,Overhead Press,3,6,1,105 lbs x 6 reps,,105 lbs,6
2012-11-05 12:05,Squat,4,1,0,45 lbs x 5 reps,,45 lbs,5
2012-11-05 12:05,Squat,4,2,0,95 lbs x 5 reps,,95 lbs,5
2012-11-05 12:05,Squat,4,3,0,135 lbs x 3 reps,,135 lbs,3
2012-11-05 12:05,Squat,4,4,0,165 lbs x 5 reps,,165 lbs,5
2012-11-05 12:05,Squat,4,5,0,165 lbs x 5 reps,,165 lbs,5
2012-11-05 12:05,Squat,4,6,1,165 lbs x 7 reps,,165 lbs,7
2012-11-05 12:05,Weighted Dip,5,1,0,x 8 reps,,,8
2012-11-05 12:05,Weighted Dip,5,2,0,x 8 reps,,,8
2012-11-05 12:05,Weighted Dip,5,3,0,x 8 reps,,,8
