Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-10-03 10:11,Foam Rolling,1,1,0,10:00,600 sec,,
2013-10-03 10:11,Bench Press,2,1,0,105 lbs x 5 reps,,105 lbs,5
2013-10-03 10:11,Bench Press,2,2,0,140 lbs x 5 reps,,140 lbs,5
2013-10-03 10:11,Bench Press,2,3,0,160 lbs x 3 reps,,160 lbs,3
2013-10-03 10:11,Bench Press,2,4,0,190 lbs x 3 reps,,190 lbs,3
2013-10-03 10:11,Bench Press,2,5,0,195 lbs x 2 reps,,195 lbs,2
2013-10-03 10:11,Bench Press,2,6,0,195 lbs x 2 reps,,195 lbs,2
2013-10-03 10:11,Bench Press,2,7,1,200 lbs x 3 reps,,200 lbs,3
2013-10-03 10:11,Overhead Press,3,1,0,120 lbs x 3 reps,,120 lbs,3
2013-10-03 10:11,Overhead Press,3,2,0,120 lbs x 3 reps,,120 lbs,3
2013-10-03 10:11,Overhead Press,3,3,0,120 lbs x 3 reps,,120 lbs,3
2013-10-03 10:11,Overhead Press,3,4,0,120 lbs x 3 reps,,120 lbs,3
2013-10-03 10:11,Chin-Up,4,1,0,7 reps,,,7
2013-10-03 10:11,Chin-Up,4,2,0,7 reps,,,7
2013-10-03 10:11,Chin-Up,4,3,0,7 reps,,,7
2013-10-03 10:11,Weighted Dip,5,1,0,x 10 reps,,,10
2013-10-03 10:11,Weighted Dip,5,2,0,x 10 reps,,,10
2013-10-03 10:11,Weighted Dip,5,3,0,x 10 reps,,,10
2013-10-03 10:11,Dumbbell Curl,6,1,0,30 lbs x 8 reps,,30 lbs,8
2013-10-03 10:11,Dumbbell Curl,6,2,0,30 lbs x 8 reps,,30 lbs,8
2013-10-03 10:11,Dumbbell Curl,6,3,0,30 lbs x 6 reps,,30 lbs,6
